,MHdays,Discrim2,Insecurity2,EthRace5_2022,BIPOCAI,Gender3,Gender2,TransGender
208,4,0,1,5,white,1,MaleFemale,0
209,1.5,0,2,5,white,2,MaleFemale,0
210,3,,2,5,white,2,MaleFemale,0
211,2,0,5,4,BIPOC/AI,2,MaleFemale,0
212,2,0,1,5,white,2,MaleFemale,0
213,2,0,2,,BIPOC/AI,2,MaleFemale,0
214,5,,4,5,white,2,MaleFemale,0
215,3,,2,5,white,2,MaleFemale,0
216,30,,3,1,BIPOC/AI,2,MaleFemale,0
217,10,0,2,5,white,1,MaleFemale,0
218,2,0,4,5,white,2,MaleFemale,0
219,4,0,4,,BIPOC/AI,1,MaleFemale,0
220,2,,3,5,white,1,MaleFemale,0
221,5,0,2,5,white,2,MaleFemale,0
222,5,,1,4,BIPOC/AI,2,MaleFemale,0
223,18,0,8,5,white,2,MaleFemale,0
224,10,0,5,5,white,1,MaleFemale,0
225,2,0,2,2,BIPOC/AI,2,MaleFemale,0
226,4,,5,5,white,2,MaleFemale,0
227,3,,1,5,white,2,MaleFemale,0
228,20,,1,5,white,1,MaleFemale,0
229,10,,6,5,white,2,MaleFemale,0
230,6,0,4,5,white,2,MaleFemale,0
231,4,1,1,5,white,2,MaleFemale,0
232,2,0,0,5,white,1,MaleFemale,0
233,2,0,2,5,white,2,MaleFemale,0
234,2,0,4,5,white,2,MaleFemale,0
235,15,,11,5,white,2,MaleFemale,0
236,3,,7,5,white,1,MaleFemale,0
237,25,,4,5,white,3,AgenderNonbinaryGenderQueer,0
238,10,0,2,5,white,2,MaleFemale,0
239,5,0,2,5,white,1,MaleFemale,0
240,15,0,2,5,white,2,MaleFemale,0
241,5,0,2,5,white,2,MaleFemale,0
242,5,,5,3,BIPOC/AI,2,MaleFemale,0
243,2,,2,5,white,2,MaleFemale,0
244,1,0,1,5,white,1,MaleFemale,0
245,5,0,2,5,white,1,MaleFemale,0
246,20,0,1,5,white,2,MaleFemale,0
247,5,0,0,5,white,1,MaleFemale,0
248,1.5,,3,5,white,1,MaleFemale,0
249,7,0,0,3,BIPOC/AI,1,MaleFemale,0
250,10,,4,5,white,1,MaleFemale,0
251,1,,1,5,white,2,MaleFemale,0
252,1.5,0,1,5,white,2,MaleFemale,0
253,20,1,6,5,white,2,MaleFemale,0
254,3,0,4,3,BIPOC/AI,2,MaleFemale,0
255,4,0,2,5,white,2,MaleFemale,0
256,2,0,0,5,white,1,MaleFemale,0
257,30,0,2,5,white,1,MaleFemale,0
258,4,0,2,5,white,2,MaleFemale,0
259,3,,,5,white,2,MaleFemale,0
260,5,0,4,5,white,2,MaleFemale,0
261,4,0,,,BIPOC/AI,2,MaleFemale,0
262,2,0,5,5,white,2,MaleFemale,0
263,11,,2,5,white,2,MaleFemale,0
265,10,0,4,5,white,2,MaleFemale,0
266,4,,3,,BIPOC/AI,2,MaleFemale,0
267,20,,9,5,white,2,MaleFemale,0
268,2,0,0,5,white,2,MaleFemale,0
269,7,0,2,5,white,2,MaleFemale,0
270,1,,3,5,white,2,MaleFemale,0
271,3,,2,,BIPOC/AI,1,MaleFemale,0
272,2,0,2,,BIPOC/AI,2,MaleFemale,0
