 ,totalmomsthisphase,died7,numdied,morbid,duration,csection,complicbefore,anemia,pairname,arm,referredout,literacy,highincome,factype,distance,numstaff,supplies,meds,baage,balasttrained,balasttrainedln,baexperience,baexperienceln,batrained,batypes,bascheduledbin,baobc,nurseonlybin,anmonlybin,anydocbin,scheduled,obc,meangravidaln,complicbeforeln,anemialn,csectionln,age35plus,ageunder25,died0sbrbaseline,meangravida,lucknow,anymatmort
428,935,0.024546425,24.54642476,0.091103966,214.1345733,0,0.010706638,0.001070664,P3-P23,1,0.022411953,0.594,0,1,23,4,20.6,3.6,30.28571429,3,1.098612289,3.857142857,1.349926717,0.142857143,2,1,0.714285714,1,0,0,0.247058824,0.47486631,0.84888039,-4.536891345,-6.839476438,-7.60090246,0.005347594,0.365775401,0.008609272,2.337028825,0,1
520,1821,0.059368192,59.36819172,0.119559229,156.4126801,0,0.013194063,0.008796042,P3-P30,1,0.078976035,0.556,1,2,45,6,22.2,2.8,34.33333333,7,1.945910149,11,2.397895273,1,1,0,0.666666667,1,0,1,0.226249314,0.605711148,0.848946665,-4.327988348,-4.733453456,-7.60090246,0.00989011,0.301648352,0.012993039,2.337183718,0,1
521,1893,0.086477987,86.47798742,0.066701959,138.0643651,0,0.06504495,0.13802221,P3-P31,0,0.129979036,0.556,1,2,30,4,22.8,3,35.2,7,1.945910149,11.8,2.468099531,0.8,1,1,0,0,0,1,0.393763214,0.325581395,0.83777875,-2.732676713,-1.980340661,-7.60090246,0.010036978,0.557844691,0.025699862,2.311227458,0,1
522,1391,0.054208274,54.20827389,0.076978417,210.819305,0,0.024871982,0.00658376,P3-P21,1,0.097717546,0.556,1,2,18,4,23,3.2,31,3.25,1.178654996,7.25,1.981001469,1,1,1,0.75,0,0,1,0.187634795,0.686556434,0.824505447,-3.694013312,-5.023149259,-7.60090246,0.004319654,0.429805616,0.0185,2.280752533,0,1
523,1299,0.045349731,45.34973098,0.119414484,186.7939984,0,0.008468052,0.007698229,P3-P30,0,0.024596464,0.556,1,2,42,7,20.2,2.6,43.2,9.25,2.224623552,20,2.995732274,0.8,1,0,0.4,1,0,1,0.374133949,0.234026174,1.116469906,-4.771454744,-4.866764924,-7.60090246,0.010007698,0.384141647,0.013975904,3.054054054,0,1
524,1718,0.046712803,46.71280277,0.092765461,176.8451807,0.00059952,0.02970297,0.011065812,P3-P11,0,0.038062284,0.556,1,3,20,3,23.2,3.2,29,3,1.098612289,6.4,1.85629799,0.8,1,1,0.5,0,0,1,0.324214203,0.425494761,0.896502441,-3.516508228,-4.503894882,-7.419380583,0.013969732,0.365541327,0.011754069,2.451015532,0,1
540,1433,0.031944444,31.94444444,0.096368715,235.5968436,0,0.032100488,0.035589672,P3-P8,1,0.020833333,0.521,1,3,4,7,22.6,2.8,28,5,1.609437912,6.25,1.832581464,0.25,1,0,0.25,1,0,1,0.189811584,0.671318911,0.994728017,-3.438884031,-3.335699795,-7.60090246,0.033542977,0.316561845,0.017694641,2.703988803,0,1
541,1048,0.02756654,27.56653992,0.097421203,173.719246,0,0.029580153,0.047709924,P3-P18,0,0.040874525,0.521,1,2,25,6,20.6,3,27.75,3,1.098612289,6.75,1.909542505,0.75,1,1,0.5,1,0,0,0.401717557,0.474236641,1.091910492,-3.52065166,-3.042615859,-7.60090246,0.019083969,0.267175573,0.008960573,2.979961832,0,1
550,1038,0.035508637,35.50863724,0.102217936,313.802645,0.007113821,0.036027264,0.013631938,P3-P9,1,0.06232023,0.64,1,3,20,4,25.4,4,41.25,13,2.564949357,16,2.772588722,0.75,1,0,0.5,0,0,1,0.27938343,0.46628131,1.227567014,-3.323479297,-4.29533988,-4.945715748,0.028901734,0.449903661,0.003984064,3.412915851,0,1
551,914,0.04989154,49.89154013,0.112938596,112.28722,0,0.077094972,0.49273743,P3-P4,0,0.323210412,0.64,1,1,18,3,21.2,3.6,36.33333333,6,1.791759469,11,2.397895273,1,1,1,0.666666667,0,0,1,0.237417943,0.504376368,1.001067635,-2.562717214,-0.707778843,-7.60090246,0.035087719,0.412280702,0.003558719,2.72118551,0,1
552,1727,0.03159104,31.59103963,0.133835458,334.0340426,0.030156815,0.038327526,0.011614402,P3-P8,0,0.055140724,0.64,1,3,25,6,23,3.2,38.33333333,6.333333333,1.84582669,14.66666667,2.685577345,1,1,1,0.166666667,0,0,1,0.295309786,0.517081644,0.845954,-3.261586943,-4.455509411,-3.50134433,0.022003474,0.462072959,0.017666202,2.330199765,0,1
553,1023,0.040816327,40.81632653,0.09295499,202.8066095,0,0.102564103,0.034516765,P3-P17,1,0.260447036,0.64,1,1,23,3,22,4,35.33333333,5.5,1.704748092,8.5,2.140066163,1,3,0,0.333333333,1,0,1,0.248289345,0.377321603,0.917623177,-2.277267285,-3.366310123,-7.60090246,0.024485798,0.471106758,0.006960557,2.503333333,0,1
